country,year,ev_sales_share,ev_stock,ev_stock_share,charging_points
Portugal,2011,0.11,910.0,0.019,1106.0
Rest of the world,2017,0.11,22380.0,0.019,
Colombia,2017,0.1,325.0,0.0097,
Italy,2014,0.1,3630.0,0.0094,1410.0
Russia,2020,0.1,4600.0,0.01,
South Africa,2016,0.1,660.0,0.0095,
South Africa,2020,0.098,1470.0,0.019,300.0
Indonesia,2020,0.096,396.0,0.0035,
China,2013,0.095,32600.0,0.031,
Korea,2014,0.092,2700.0,0.015,1640.0
Mexico,2017,0.091,2230.0,0.012,750.0
Bulgaria,2015,0.09,,,
Portugal,2012,0.088,960.0,0.023,1107.0
South Africa,2021,0.088,1741.0,0.023,300.0
Brazil,2019,0.084,2990.0,0.0094,225.0
Turkiye,2019,0.084,1840.0,0.017,150.0
Costa Rica,2017,0.082,156.0,0.016,
Chile,2018,0.08,410.0,0.011,69.0
Italy,2013,0.08,2180.0,0.0058,1400.0
Czech Republic,2016,0.08,,,
Romania,2016,0.08,,,
Spain,2012,0.076,1010.0,0.0045,400.0
Greece,2015,0.075,119.0,0.0027,16.0
China,2012,0.073,16920.0,0.019,
Russia,2019,0.073,3100.0,0.007,
Poland,2014,0.072,,,124.0
Slovakia,2015,0.07,,,
Slovakia,2016,0.07,,,
Russia,2018,0.067,1900.0,0.0043,
Chile,2017,0.064,231.0,0.0069,41.0
South Africa,2019,0.064,1240.0,0.016,240.0
United Kingdom,2011,0.062,2628.0,0.009,1500.0
Poland,2015,0.061,2500.0,0.012,298.0
Japan,2010,0.058,3500.0,0.0061,310.0
South Africa,2015,0.058,280.0,0.0042,
India,2011,0.056,1300.0,0.0067,
Mexico,2016,0.056,1030.0,0.0057,246.0
Greece,2014,0.055,42.0,0.00096,122.0
Sweden,2011,0.054,180.0,0.0041,
South Africa,2017,0.053,860.0,0.012,124.0
Belgium,2011,0.052,347.0,0.0065,
Germany,2011,0.052,1840.0,0.0044,
Bulgaria,2016,0.05,,,
Spain,2011,0.049,468.0,0.0021,
Korea,2013,0.048,1400.0,0.0084,1180.0
Turkiye,2018,0.045,930.0,0.0086,69.0
Rest of the world,2015,0.044,8624.0,0.0079,
Rest of the world,2016,0.042,12383.0,0.011,
Canada,2011,0.041,555.0,0.0029,
New Zealand,2013,0.041,92.0,0.0032,
South Africa,2018,0.041,1010.0,0.014,241.0
Korea,2012,0.041,850.0,0.005,880.0
Viet Nam,2021,0.041,88.0,0.0046,
India,2014,0.038,3400.0,0.013,
China,2011,0.034,6960.0,0.0091,
Australia,2013,0.033,590.0,0.0046,
Colombia,2016,0.033,169.0,0.0052,
Italy,2012,0.033,1200.0,0.0032,1400.0
New Zealand,2012,0.033,56.0,0.0019,
India,2017,0.031,7000.0,0.021,220.0
India,2018,0.03,7900.0,0.022,355.0
Turkiye,2015,0.03,370.0,0.0038,
Romania,2015,0.03,,,
Australia,2012,0.029,300.0,0.0024,
Costa Rica,2015,0.029,12.0,0.0014,
India,2016,0.026,4800.0,0.015,
Russia,2016,0.026,627.0,0.0014,
Finland,2011,0.025,56.0,0.0019,
Netherlands,2010,0.025,281.0,0.0036,400.0
